"order_id","presence_id","spacetime_volume_id","place_name_NL","place_name_NL_standardised","place_name_FR","place_name_FR_standardised","description","police_quarter","canton_of_small_claims_court","earliest_begin","latest_begin","earliest_end","latest_end","source","IIIF_manifest","IIIF_image_URI"
0,7671,3599,"Abdijstraat","Abdijstraat","rue de l'abbaye","rue de l'abbaye","van slachthuisboulevard tot kasteelboulevard.",7,1,"1887-01-01T00:00:00",,,"1887-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/SG5MQQBU","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:0F3AB176-5140-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3A0F3AB176-5140-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=490&xywh=-899%2C0%2C4918%2C2691"
1,7672,3601,"Abeelstraat","Abeelstraat","rue du tremble","rue du tremble","van brabantdam tot zakkebandstraat.",4,1,"1887-01-01T00:00:00",,,"1887-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/SG5MQQBU","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:0F3AB176-5140-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3A0F3AB176-5140-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=490&xywh=-899%2C0%2C4918%2C2691"
2,7673,3602,"Abrahamstraat","Abrahamstraat","rue d'Abraham","rue d'Abraham","van groot gewat tot meersteeg.",2,2,"1887-01-01T00:00:00",,,"1887-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/SG5MQQBU","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:0F3AB176-5140-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3A0F3AB176-5140-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=490&xywh=-899%2C0%2C4918%2C2691"
3,7674,8660,"Abrikoosstraat","Abrikoosstraat","rue de l'abricot","rue de l'abricot","van brugschesteenweg tot groendreef.",6,2,"1887-01-01T00:00:00",,,"1887-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/SG5MQQBU","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:0F3AB176-5140-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3A0F3AB176-5140-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=490&xywh=-899%2C0%2C4918%2C2691"
4,7675,3604,"Academiestraat","Academiestraat","rue de l'académie","rue de l'académie","van augustijnenkaai tot s. margrietestraat.",3,1,"1887-01-01T00:00:00",,,"1887-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/SG5MQQBU","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:0F3AB176-5140-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3A0F3AB176-5140-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=490&xywh=-899%2C0%2C4918%2C2691"
5,7676,3607,"Achterlei","Achterlei","quai de l'arrière-lys","quai de l'arrière-lys","van slijpstraat tot huidevetterskaai.",3,1,"1887-01-01T00:00:00",,,"1887-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/SG5MQQBU","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:0F3AB176-5140-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3A0F3AB176-5140-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=490&xywh=-899%2C0%2C4918%2C2691"
6,7677,3608,"Achtermuide","Achtermuide","arrière-muide","arrière-muide","van n° 170 op den meulesteedschen steenweg en uitkomende op den zelfden steenweg tusschen n°s 322 en 324.","H 3",2,"1887-01-01T00:00:00",,,"1887-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/SG5MQQBU","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:0F3AB176-5140-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3A0F3AB176-5140-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=490&xywh=-899%2C0%2C4918%2C2691"
7,7678,3610,"Ajuinenlei","Ajuinenlei",,,"ziet kraanlei en ook oude ajuinenlei.",,,"1887-01-01T00:00:00",,,"1887-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/SG5MQQBU","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:0F3AB176-5140-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3A0F3AB176-5140-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=490&xywh=-899%2C0%2C4918%2C2691"
8,7679,3751,"Akkerstraat","Akkerstraat",,,"ziet rasphuisstraat.",,,"1887-01-01T00:00:00",,,"1887-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/SG5MQQBU","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:0F3AB176-5140-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3A0F3AB176-5140-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=490&xywh=-899%2C0%2C4918%2C2691"
9,7680,3611,"Akkergemboulevard","Akkergemboulevard","boul. d'akkergem","Boulevard d'akkergem","van godshuizenboulevard en bijlokevest tot nieuwe wandeling.",2,2,"1887-01-01T00:00:00",,,"1887-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/SG5MQQBU","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:0F3AB176-5140-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3A0F3AB176-5140-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=490&xywh=-899%2C0%2C4918%2C2691"
10,7681,7681,"Akkergemplaats","Akkergemplaats","place d'akkergem","place d'akkergem","achter akkergemkerk, ziet akkergemboulevard.",,,"1887-01-01T00:00:00",,,"1887-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/SG5MQQBU","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:0F3AB176-5140-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3A0F3AB176-5140-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=490&xywh=-899%2C0%2C4918%2C2691"
11,7682,3612,"Akkergemsstraat","Akkergemsstraat","rue d'akkergem","rue d'akkergem","van coupure, linker oever, tot akkergemboulevard.",2,2,"1887-01-01T00:00:00",,,"1887-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/SG5MQQBU","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:0F3AB176-5140-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3A0F3AB176-5140-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=490&xywh=-899%2C0%2C4918%2C2691"
12,7683,7683,"Akkergemvest","Akkergemvest","rempart d’akkergem","rempart d’akkergem","ziet akkergemboulevard.",,,"1887-01-01T00:00:00",,,"1887-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/SG5MQQBU","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:0F3AB176-5140-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3A0F3AB176-5140-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=490&xywh=-899%2C0%2C4918%2C2691"
