"presence_id","spacetime_volume_id","place_type","place_name_NL","place_name_FR","description","police_quarter","canton_of_small_claims_court","earliest_begin","latest_begin","earliest_end","latest_end","source","IIIF_manifest","IIIF_image_URI"
3599,3599,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Abdijstraat","rue de l’abbaye","van slachthuisboulevard tot kasteelboulevard.",7,1,"1898-01-01T00:00:00",,,"1898-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/U32PZGXS","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:EB1B0E6A-5141-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3AEB1B0E6A-5141-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=620&xywh=-937%2C-153%2C4995%2C3025"
3600,3600,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Abeelbroekstraat","rue abeelbroek","s. Amandsberg, wijk oude barriere, van antwerpschen steenweg tot Destelbergen.",,,"1898-01-01T00:00:00",,,"1898-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/U32PZGXS","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:EB1B0E6A-5141-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3AEB1B0E6A-5141-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=620&xywh=-937%2C-153%2C4995%2C3025"
3601,3601,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Abeelstraat","rue du tremble","van brabantdam tot zakke- bandstraat.",4,1,"1898-01-01T00:00:00",,,"1898-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/U32PZGXS","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:EB1B0E6A-5141-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3AEB1B0E6A-5141-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=620&xywh=-937%2C-153%2C4995%2C3025"
3602,3602,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Abrahamstraat","rue d'Abraham","van groot gewat tot meersteeg.",2,3,"1898-01-01T00:00:00",,,"1898-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/U32PZGXS","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:EB1B0E6A-5141-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3AEB1B0E6A-5141-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=620&xywh=-937%2C-153%2C4995%2C3025"
3603,3603,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Abrikoosstraat","rue de l'abricot","van brugschen steenweg tot groendreef.",6,3,"1898-01-01T00:00:00",,,"1898-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/U32PZGXS","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:EB1B0E6A-5141-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3AEB1B0E6A-5141-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=620&xywh=-937%2C-153%2C4995%2C3025"
3604,3604,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Academiestraat","rue de l'académie","van augustijnenkaai tot s. margrietestraat.",3,3,"1898-01-01T00:00:00",,,"1898-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/U32PZGXS","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:EB1B0E6A-5141-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3AEB1B0E6A-5141-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=620&xywh=-937%2C-153%2C4995%2C3025"
3605,3605,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Acaciastraat","rue de l’acacia","tusschen den Brugschensteenweg en de kastaanjestraat.",6,3,"1898-01-01T00:00:00",,,"1898-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/U32PZGXS","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:EB1B0E6A-5141-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3AEB1B0E6A-5141-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=620&xywh=-937%2C-153%2C4995%2C3025"
3606,3606,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Achterdries","arrière-pré","Gentbrugge, van leemstraat tot boschstraat.",,,"1898-01-01T00:00:00",,,"1898-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/U32PZGXS","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:EB1B0E6A-5141-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3AEB1B0E6A-5141-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=620&xywh=-937%2C-153%2C4995%2C3025"
3607,3607,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Achterlei","quai de l'arrière-lys","van slijpstraat tot huidevetterskaai.",3,1,"1898-01-01T00:00:00",,,"1898-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/U32PZGXS","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:EB1B0E6A-5141-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3AEB1B0E6A-5141-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=620&xywh=-937%2C-153%2C4995%2C3025"
3608,3608,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Achtermuide","arrière-muide","van n° 170 op den meulesteedschen steenweg tot haanstraat en landbouwerstraat kruisende.","HM 3",1,"1898-01-01T00:00:00",,,"1898-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/U32PZGXS","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:EB1B0E6A-5141-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3AEB1B0E6A-5141-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=620&xywh=-937%2C-153%2C4995%2C3025"
